Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Reliance Power,43.89,-5.45%,46,"7,19,77,053","19,198.20",6.21,7.39,76.49,31.27,-5.57%,-7.76%,4.43%,174.31%,1293.33%,1.28,-,-,16.13%,-,45.99,47.08,43.4,-,-
BASF,"4,457.10",1.02%,"4,410.50","14,889","19,097.60",48.25,25.14,"8,508.95","4,065.05",-4.92%,-6.35%,-46.22%,56.57%,236.79%,5.26,0.45%,17.47%,17.25%,129.85,"4,568.89","4,685.16",44.12,66.45%,80.00%
EID Parry,"1,060.30",-1.13%,"1,077.70","1,37,041","19,073.90",9.47,18.94,"1,246.80",639,1.77%,-10.98%,35.48%,66.75%,288.03%,2.39,-,14.43%,20.21%,49.62,"1,073.78",955.7,50.56,68.09%,80.00%
Godawari Power & Ispat,281.85,-0.67%,283.1,"18,81,772","18,999.70",25.56,22.42,290,145.75,13.93%,43.51%,42.95%,424.57%,1448.63%,3.87,0.77%,20.10%,21.98%,72.91,251.84,202.72,72.69,60.00%,65.00%
KFin Technologies,"1,102.80",0.43%,"1,098.10","3,13,462","18,916.20",54.73,25.16,"1,641.35",784.15,3.33%,-1.87%,9.23%,203.09%,203.09%,13.44,0.68%,21.56%,28.63%,15.8,"1,096.46","1,110.23",47.59,68.53%,80.00%
Gujarat Mineral Development Corporation,600.45,1.03%,595.55,"31,87,168","18,898.70",28.4,19.8,651,226.59,-2.06%,46.97%,67.75%,319.75%,1321.18%,2.95,1.70%,20.97%,12.42%,18.32,550.12,390.16,57.48,62.20%,78.63%
Deepak Fertilisers & Petrochemicals,"1,485.50",-0.41%,"1,485.00","1,48,083","18,829.60",19.04,25.14,"1,778.60",888.9,-5.53%,-3.88%,16.27%,64.33%,901.01%,3.02,0.67%,23.51%,16.65%,41.83,"1,470.53","1,361.92",51.46,62.95%,80.00%
Grindwell Norton,"1,672.50",-0.98%,"1,689.10","32,792","18,701.70",48.76,-245.26,"2,280.00","1,356.05",0.58%,11.50%,-24.05%,-20.60%,203.02%,8.19,1.01%,18.58%,20.71%,34.33,"1,623.64","1,671.98",55.3,68.22%,80.00%
Sarda Energy & Minerals,546.15,3.14%,531,"9,75,151","18,658.60",19.83,22.42,639.75,396.6,-5.43%,4.18%,26.22%,555.48%,1951.65%,2.97,0.28%,17.24%,12.51%,15.69,569.32,493.62,48.35,50.00%,65.00%
JSW Cement,135.63,-0.59%,135.99,"6,72,356","18,601.80",-113.71,36.01,162.15,133.72,-2.33%,-7.15%,-7.15%,-7.15%,-7.15%,4.41,-,-,4.90%,-,143.85,-,41.71,-,70.00%
Allied Blenders & Distillers,683.8,3.29%,666,"10,13,345","18,518.20",77.33,55.81,671.4,279,23.65%,29.29%,112.69%,115.10%,115.10%,12,0.54%,0.39%,23.22%,0.7,548.37,429.9,78.5,60.00%,70.00%
Amara Raja Energy & Mobility,"1,010.20",0.54%,"1,001.10","2,55,541","18,389.50",21.36,80.72,"1,409.00",832.3,1.12%,5.49%,-26.49%,67.21%,67.21%,2.49,1.05%,13.74%,16.77%,53.17,"1,005.57","1,003.22",54.57,90.00%,80.00%
Bikaji Foods International,726.55,-0.55%,730.6,"65,154","18,308.30",94.15,20.33,899,558.8,-0.37%,-2.50%,-16.97%,128.87%,128.87%,13.27,0.14%,13.30%,16.94%,11.29,757.57,720.05,41.78,60.00%,75.00%
Gabriel,"1,287.40",1.06%,"1,273.80","1,63,243","18,298.80",73.43,80.72,"1,388.00",387,-0.19%,25.11%,185.01%,724.99%,1285.05%,15.48,0.37%,17.84%,26.70%,13.53,"1,249.33",807.85,54.24,36.00%,75.00%
Crompton Greaves,284.1,0.50%,282.7,"32,15,109","18,203.10",33.99,34.77,419.45,278,-3.76%,-13.15%,-26.16%,-21.83%,-4.39%,5.37,1.06%,12.81%,19.23%,7.36,303.89,332.93,36.98,76.00%,80.00%
JSW Holdings,"16,998.00",3.76%,"16,200.00","2,412","18,183.40",103.05,10.51,"27,740.00","9,741.35",7.01%,-10.82%,67.38%,303.93%,582.40%,0.58,-,-,0.66%,-,"17,567.86","20,025.36",48.97,-,-
Firstcry (Brainbees Solutions),348.6,0.06%,348.5,"2,93,098","18,183.30",-71.12,42.65,664.65,286.05,-6.32%,-4.45%,-43.55%,-48.67%,-48.67%,3.83,-,-8.48%,-1.09%,-,372.65,379.16,36.12,60.00%,75.00%
Zensar Technologies,755.9,-5.22%,792.95,"15,56,599","18,128.00",26.91,19.14,984.95,535.85,-0.57%,-5.59%,6.05%,250.12%,326.70%,4.46,1.63%,18.67%,20.39%,29.42,791.23,786.81,38.92,66.10%,80.00%
Whirlpool,"1,378.30",-1.49%,"1,375.10","2,55,456","17,750.60",48.74,63.33,"2,122.90",899,16.86%,3.09%,-30.87%,-9.26%,-32.39%,4.49,0.36%,5.84%,11.63%,23.58,"1,301.55","1,252.85",58.98,66.48%,80.00%
LMW,"15,853.00",0.72%,"15,694.00","2,386","17,732.40",163.18,56.42,"18,250.00","13,450.05",6.88%,3.08%,-5.04%,-6.66%,-6.66%,6.05,0.19%,13.82%,5.04%,272.28,"14,952.64","15,640.06",61.48,70.00%,75.00%
Alembic Pharmaceuticals,924.2,2.99%,897.4,"90,497","17,639.60",29.32,54.8,"1,152.00",725.2,1.52%,-4.45%,-17.76%,40.42%,-7.35%,3.4,1.23%,12.78%,14.66%,32.05,934.63,928.68,50.52,67.21%,80.00%
Jubilant Pharmova,"1,169.80",6.25%,"1,105.00","8,51,720","17,536.90",36.86,60.61,"1,309.90",802,4.50%,1.99%,-6.60%,217.02%,68.01%,2.65,0.45%,1.34%,11.53%,14.96,"1,093.61","1,038.39",62.69,65.08%,80.00%
Nava,608.1,-1.73%,618.85,"3,95,467","17,512.10",12.93,30.52,735,356.05,-6.75%,-1.87%,23.36%,504.59%,2280.04%,2.36,1.26%,15.09%,15.42%,64.33,660.4,538.54,36.14,62.51%,80.00%
Gujarat State Petronet,310.05,0.13%,309,"1,24,806","17,470.80",11.09,25.16,401.4,261.45,-4.70%,1.56%,-19.64%,37.59%,67.32%,1.5,1.61%,18.46%,13.15%,29.39,310.4,316.03,45.6,69.42%,80.00%
Travel Food Services,"1,314.80",-0.28%,"1,307.90","44,036","17,361.90",45.65,324.15,"1,435.00","1,008.50",-5.33%,29.24%,22.33%,22.33%,22.33%,16.45,0.64%,-,42.28%,-,"1,309.74",-,47.24,-,75.00%
Sobha,"1,656.40",2.34%,"1,620.00","2,47,344","17,306.80",116.4,-6.34,"1,732.50","1,075.30",12.66%,5.65%,5.76%,174.35%,476.98%,3.75,0.19%,1.95%,5.96%,4.55,"1,519.70","1,406.24",69.62,64.63%,80.00%
Ventive Hospitality,744.05,0.70%,744.9,"41,204","17,256.40",98.24,324.15,840,523.4,2.83%,-3.41%,5.64%,5.64%,5.64%,3.61,-,-,5.99%,-,737.3,727.96,53.33,65.00%,-
Choice International,830.55,-0.72%,837.8,"4,11,814","17,205.10",91.25,10.51,838,438.45,6.01%,10.40%,59.95%,473.19%,1002.84%,16.33,-,12.46%,20.17%,6.86,805.41,663.84,58.57,50.00%,60.00%
Carborundum Universal,909.45,0.99%,897,"60,298","17,148.80",84.79,-245.26,"1,530.90",809.1,-2.98%,-0.88%,-35.48%,7.76%,201.54%,4.87,0.44%,14.58%,12.27%,20.19,935.32,979.72,46.66,70.00%,80.00%
Vinati Organics,"1,663.70",0.69%,"1,650.30","22,650","17,128.70",40.25,25.14,"2,040.00","1,412.50",-1.44%,-6.25%,-10.85%,-14.54%,43.67%,6.13,0.45%,20.65%,18.10%,32.57,"1,705.29","1,725.90",41.79,71.27%,80.00%
ACME Solar Holdings,272.65,-3.25%,283.5,"12,84,845","17,051.40",44.91,22.37,324.3,167.75,-4.75%,-1.41%,7.70%,7.70%,7.70%,3.78,0.07%,-,6.42%,-,289.32,245.67,40.54,60.00%,70.00%
Triveni Turbines,540.05,0.89%,535.3,"3,05,065","17,016.10",49.64,34.77,885,460.3,3.53%,-8.52%,-20.69%,91.88%,687.82%,13.99,0.75%,25.33%,38.63%,9.07,525.78,566.16,60.43,50.00%,75.00%
Ratnamani Metals & Tubes,"2,482.10",2.36%,"2,422.00","17,081","16,995.90",30.23,22.42,"3,750.00","2,256.00",2.77%,-0.96%,-32.86%,25.01%,198.37%,4.68,0.58%,19.44%,19.84%,84.75,"2,402.69","2,634.96",56.81,71.14%,80.00%
ATUL,"5,906.50",2.50%,"5,776.00","19,525","16,965.80",30.21,25.14,"8,097.00","4,752.00",-3.71%,-10.23%,-24.11%,-30.05%,-2.18%,2.87,0.43%,6.28%,11.71%,112.61,"6,163.29","6,401.75",44.68,70.29%,80.00%
Century Plyboards,754.65,0.03%,754,"31,684","16,761.80",81.8,25.16,897.1,631,-6.60%,0.14%,-10.58%,27.36%,322.89%,7.08,0.13%,20.10%,11.67%,12.61,777.49,753.61,44.88,69.54%,80.00%
Afcons Infrastructure,449.9,0.41%,447.35,"2,67,483","16,478.60",30.95,-6.34,570,390,0.01%,10.89%,-5.12%,-5.12%,-5.12%,3.13,0.56%,-,15.25%,-,446.7,443.34,50.58,60.00%,70.00%
CIE Automotive,437.6,1.25%,430.95,"1,15,400","16,396.00",20.28,21.69,521.1,356.75,6.14%,7.77%,-12.15%,-12.20%,-12.20%,2.37,1.62%,13.32%,15.32%,21.36,415.38,423.98,58.66,71.18%,80.00%
CEAT,"4,028.70",-0.10%,"4,056.00","1,31,244","16,312.30",33.02,35.77,"4,438.00","2,343.05",14.74%,24.12%,47.24%,166.97%,259.50%,3.73,0.74%,15.68%,15.23%,169.51,"3,540.20","3,300.69",61.54,67.70%,80.00%
Aditya Birla Lifestyle Brands,136.2,1.95%,133.9,"7,94,524","16,303.10",272.76,47.97,175,129.5,-0.18%,-0.45%,-14.15%,-14.15%,-14.15%,6.53,-,-,12.54%,-,139.77,-,46.19,60.00%,80.00%
PG Electroplast,575.95,0.88%,569.95,"7,08,068","16,219.30",59.9,44.1,"1,054.20",465,12.02%,-27.03%,-7.94%,469.68%,5464.73%,5.74,0.04%,19.57%,14.42%,7.08,557.44,739.66,54.57,66.60%,75.00%
Dr. Agarwal's Health Care,518.6,2.44%,510.25,"2,81,039","16,005.50",110.76,32.94,568,327,3.80%,13.88%,29.12%,29.12%,29.12%,8.34,-,-,8.41%,-,479.43,-,54.91,65.00%,70.00%
UTI AMC,"1,236.70",-0.87%,"1,247.50","52,816","15,993.20",24.19,10.51,"1,494.80",905,-5.91%,-5.89%,-7.15%,83.24%,150.04%,3.65,3.84%,16.13%,20.36%,61.66,"1,333.02","1,198.51",33.45,67.69%,80.00%
RR Kabel,"1,390.70",-1.51%,"1,475.40","32,48,731","15,967.80",47.34,25.97,"1,612.00",853.55,10.98%,7.58%,-8.45%,16.08%,16.08%,7.41,0.43%,16.30%,20.77%,25.49,"1,259.16","1,211.51",66.32,60.00%,75.00%
Ircon International,169.38,-0.14%,169.51,"12,53,481","15,953.00",23.89,-6.34,237.7,134.24,-2.98%,-4.82%,-19.32%,255.47%,350.48%,2.52,1.56%,14.65%,9.42%,10.27,173.08,176.8,43.98,60.50%,80.00%
Craftsman Automation,"6,793.50",1.70%,"6,780.00","82,286","15,935.50",75.37,80.72,"7,254.50","3,700.00",0.30%,2.50%,35.94%,116.33%,373.22%,5.57,0.08%,19.26%,10.28%,118.71,"6,740.69","5,575.69",57.2,66.99%,80.00%
Aptus Value Housing Finance,301.35,-5.12%,317,"66,53,857","15,900.30",18.87,19.62,364,267.95,-7.60%,-14.04%,-14.41%,-7.05%,-13.13%,3.7,1.41%,16.24%,13.64%,12.85,323.29,319.71,39.39,69.65%,80.00%
V-Guard Industries,369.7,2.06%,363,"11,24,381","15,794.10",54.43,34.77,454.55,300,0.65%,-0.20%,-17.94%,43.24%,116.20%,7.22,0.41%,14.20%,18.94%,6.72,366.15,367.89,52.17,71.71%,80.00%
Intellect Design Arena,"1,198.00",5.69%,"1,128.90","66,04,643","15,766.10",39.16,19.14,"1,255.00",577.4,21.49%,18.86%,62.64%,187.77%,410.55%,5.33,0.62%,13.17%,15.28%,22.02,999.66,935.98,74.74,50.00%,75.00%
Elgi Equipments,495.65,-0.35%,500.9,"2,03,122","15,763.10",43.44,42.69,673.9,401,0.25%,-11.99%,-23.58%,2.16%,360.00%,8.45,0.44%,19.36%,26.14%,10.23,484.47,499.64,55.22,60.00%,75.00%
JBM Auto,658.95,-0.91%,669,"2,99,205","15,726.90",70.56,80.72,898.83,489.8,-3.49%,4.85%,-17.15%,219.88%,1295.78%,11.09,0.13%,12.14%,18.88%,15.4,663.1,657.27,47.77,50.00%,65.00%
Great Eastern Shipping Company,"1,084.60",-1.36%,"1,101.00","2,38,515","15,698.70",7.71,27.34,"1,334.60",797.5,2.89%,16.56%,-16.15%,95.46%,397.52%,1.1,2.70%,21.09%,16.61%,199.62,"1,015.76",955.24,63.05,67.97%,80.00%
Vedant Fashions,642.6,-0.49%,647.25,"1,57,314","15,689.00",39.05,47.97,"1,512.00",643,-7.53%,-15.07%,-52.42%,-55.31%,-31.17%,10.3,1.24%,25.86%,27.76%,15.84,710.72,800.44,30.97,60.00%,75.00%
JM Financial,167.61,2.19%,164.02,"17,98,995","15,683.00",15.01,10.51,199.8,80.2,-0.40%,6.62%,23.77%,140.82%,120.68%,1.61,1.64%,0.25%,11.37%,12.12,175.85,137.58,44.98,63.58%,80.00%
Syrma SGS,790.55,-2.86%,813.8,"8,59,034","15,662.70",73.21,44.1,875,370,-4.58%,8.37%,56.82%,178.17%,154.61%,5.7,0.17%,7.98%,14.84%,5.58,803.05,605.39,47.81,50.00%,65.00%
Sammaan Capital,189.93,0.71%,188,"1,34,90,362","15,622.00",12.33,19.62,191.5,97.61,15.09%,50.11%,33.75%,-2.05%,-2.05%,0.72,1.06%,6.50%,3.96%,25.15,151.54,132.07,76.73,50.00%,75.00%
IFCI,57.33,-1.07%,58.25,"60,89,717","15,613.60",31.36,-82.98,74.5,36.2,-1.41%,-0.43%,0.37%,416.49%,888.45%,1.8,-,-1.80%,6.49%,0.53,55.44,53.22,54.75,0.00%,65.00%
DOMS Industries,"2,560.40",-0.45%,"2,575.00","16,524","15,609.50",71.48,-199.41,"3,115.00","2,092.30",2.38%,8.24%,-7.96%,93.08%,93.08%,15.56,0.12%,28.95%,23.91%,28.07,"2,541.54","2,559.86",54.79,60.00%,75.00%
Blue Dart Express,"6,370.50",-3.07%,"6,495.00","2,20,766","15,594.00",58.56,29.28,"8,183.40","5,365.00",12.06%,9.87%,-20.21%,-12.61%,63.42%,10.01,0.38%,22.02%,18.32%,123.54,"5,742.83","6,207.28",67.08,69.94%,80.00%
Caplin Point Laboratories,"2,006.20",-1.31%,"2,032.80","51,352","15,451.70",27.26,26.33,"2,641.00","1,599.00",-0.68%,-0.12%,1.85%,171.75%,311.19%,5.87,0.30%,19.77%,23.34%,62.84,"2,110.48","2,051.38",43.83,50.00%,75.00%
Aditya Infotech,"1,325.60",0.88%,"1,338.00","1,90,963","15,403.00",44.11,42.65,"1,476.00","1,015.00",-2.34%,22.44%,22.44%,22.44%,22.44%,10.21,-,-,44.01%,-,"1,364.47",-,43.98,-,70.00%
Data Patterns,"2,751.50",0.27%,"2,744.00","95,006","15,362.00",71.61,44.1,"3,268.80","1,351.15",-2.96%,1.39%,16.35%,95.58%,264.44%,10.19,0.29%,2.20%,11.06%,33.7,"2,688.77","2,405.12",50.35,0.00%,70.00%
Techno Electric & Engineering,"1,340.20",1.60%,"1,320.00","95,679","15,341.10",33.25,22.37,"1,720.00",785.15,-2.33%,-6.59%,-14.74%,363.18%,598.93%,4.1,0.68%,-,11.95%,-,"1,408.19","1,279.43",47.06,50.00%,75.00%
Signatureglobal,"1,099.90",1.44%,"1,085.00","2,93,451","15,235.60",118.25,-6.34,"1,414.80",988,4.48%,-5.12%,-18.84%,139.86%,139.86%,20.97,-,-126.98%,6.71%,2.15,"1,085.76","1,149.29",55.92,50.00%,75.00%
Zydus Wellness,479.8,0.67%,475,"1,97,683","15,163.50",46.43,20.33,530.9,298.64,3.30%,16.64%,22.86%,37.37%,36.26%,2.68,0.25%,4.98%,6.51%,47.81,470.44,394.34,52.42,71.60%,80.00%
Concord Biotech,"1,469.70",1.79%,"1,443.80","56,016","15,104.50",42.38,54.8,"2,451.70","1,345.00",-7.98%,-13.72%,-19.04%,55.89%,55.89%,8.33,0.61%,20.18%,26.76%,29.94,"1,600.92","1,741.98",39.19,50.00%,70.00%
Nuvoco Vistas Corporation,408.75,-1.42%,415.5,"1,76,263","14,809.50",54.11,36.01,477.5,287.05,-3.68%,-5.11%,14.03%,1.05%,-23.12%,1.61,-,1.64%,4.05%,3.8,436.32,372.8,39.44,71.10%,80.00%
Akzo Nobel,"3,261.20",0.60%,"3,269.90","55,970","14,762.80",36.31,45.4,"4,518.00","3,022.00",-2.47%,-12.38%,-23.85%,51.58%,67.37%,11.09,3.09%,32.08%,39.89%,94.71,"3,360.71","3,450.49",39.93,68.81%,70.00%
IndiaMART InterMesh,"2,466.80",0.36%,"2,447.90","53,005","14,755.30",27.43,25.16,"2,799.00","1,900.10",4.02%,-2.31%,0.16%,4.58%,4.26%,6.9,2.03%,19.24%,24.49%,60.84,"2,473.32","2,346.29",56.1,60.00%,75.00%
Swan Corp,471.8,0.47%,470,"7,02,041","14,719.90",23.21,47.97,809.8,362.2,3.16%,9.36%,-2.55%,123.13%,234.37%,2.16,0.02%,-1.63%,15.18%,9.61,457.02,458.8,60.29,50.00%,70.00%
Natco Pharma,831.5,1.41%,819.9,"4,80,835","14,685.20",8.67,54.8,"1,505.00",726.8,1.09%,-11.04%,-40.99%,33.42%,-7.20%,1.93,0.73%,14.68%,30.12%,91.37,841.48,908.99,49.63,66.12%,80.00%
LT Foods,415.1,-1.28%,420,"11,03,629","14,602.00",22.86,20.33,518.55,288.25,2.79%,-14.54%,3.88%,118.65%,118.65%,3.79,0.71%,15.11%,20.34%,17.54,428.03,413.19,46.29,63.59%,80.00%
International Gemmological Institute,343.15,1.61%,337.85,"7,97,162","14,594.00",29.73,25.16,642.3,282,-3.85%,-9.17%,-27.17%,-27.17%,-27.17%,11.78,0.72%,-,49.46%,-,350.97,383.1,48.26,60.00%,70.00%
Trident,28.91,0.98%,28.63,"40,84,424","14,589.70",33.3,23.33,40.2,23.11,1.05%,0.94%,-15.27%,-17.87%,273.03%,3.16,1.26%,8.11%,10.23%,0.65,28.58,28.93,55.92,67.46%,80.00%
Chennai Petroleum Corporation,953,-2.69%,971.5,"94,99,711","14,583.60",12.48,12.38,998,433.1,22.12%,46.82%,55.03%,363.75%,1186.10%,1.65,0.51%,31.12%,5.19%,170.95,754.09,653.14,70.5,62.63%,79.54%
Sundaram Finance Holdings,653.25,-0.16%,640.05,"1,44,497","14,532.30",31.58,10.51,701.5,240,3.68%,36.14%,88.09%,596.80%,1281.66%,2.59,0.89%,4.01%,2.03%,25.79,598.55,425.76,52.38,62.82%,70.00%
Kirloskar Oil Engines,"1,018.95",1.91%,990.1,"3,46,406","14,525.50",31.69,119.29,"1,209.00",544.4,13.00%,15.29%,-9.46%,286.26%,914.89%,4.71,0.65%,16.53%,16.14%,33.13,918.96,837.05,71.18,60.00%,70.00%
Leela Palaces Hotels & Resorts,435.95,0.52%,431.3,"1,80,487","14,483.80",56.36,324.15,474.4,382.5,1.02%,2.49%,0.09%,0.09%,0.09%,2.36,-,-,7.24%,-,425.28,-,52.08,60.00%,80.00%
Cello World,648.1,-1.00%,654.95,"2,07,869","14,460.20",40.59,42.65,870.15,494.75,8.61%,11.67%,-21.04%,-18.14%,-18.14%,6.67,0.23%,26.00%,20.25%,15.22,599.43,595.48,62.07,50.00%,75.00%
CarTrade Tech,"3,018.50",-0.03%,"3,029.90","2,63,127","14,374.60",71.03,25.16,"3,180.00","1,060.00",20.85%,34.65%,172.65%,460.64%,101.09%,6.18,-,1.91%,7.32%,18.07,"2,524.21","1,904.80",70.46,50.00%,75.00%
Usha Martin,478.25,2.88%,463.7,"11,00,670","14,165.90",35.2,22.42,488.35,278.55,3.43%,30.19%,15.79%,236.32%,2199.28%,5.16,0.65%,17.79%,18.22%,14.02,429.31,355.21,62.41,65.84%,80.00%
Acutaas Chemicals,"1,810.40",4.79%,"1,732.60","6,84,024","14,144.50",63,60.61,"1,868.20",918.78,30.55%,36.72%,83.57%,285.78%,287.25%,10.78,0.09%,14.02%,16.51%,15.13,"1,500.64","1,242.25",72.81,50.00%,70.00%
Supreme Petrochem,720.05,-4.04%,744.5,"2,35,512","14,109.70",45.9,22.29,979,518.05,-15.01%,-11.70%,-5.59%,88.72%,441.59%,6.36,1.33%,17.16%,22.53%,21.23,797.48,718.69,29.81,68.39%,-
Cemindia Projects,858.5,5.95%,812.95,"8,41,476","13,919.10",31.21,-6.34,944,476.6,4.78%,10.83%,55.05%,620.22%,1617.00%,6.8,0.25%,18.30%,36.04%,18.73,788.13,682.89,60.48,62.97%,80.00%
Rainbow Childrens Medicare,"1,377.50",0.59%,"1,375.00","1,53,029","13,907.50",53.84,32.94,"1,709.60","1,218.00",1.72%,-8.33%,-15.51%,90.46%,205.98%,9.47,0.22%,17.26%,18.08%,21.23,"1,414.05","1,418.56",51.32,60.00%,70.00%
Newgen Software Technologies,994.6,1.90%,983.35,"10,05,261","13,829.30",42.29,19.14,"1,798.90",758.2,11.55%,19.24%,-22.61%,482.49%,692.32%,8.72,0.50%,20.56%,25.22%,19.17,897.11,"1,024.25",68.88,50.00%,75.00%
Bombay Burmah Trading,"1,979.80",-0.05%,"1,980.90","40,241","13,820.40",6.21,80.72,"2,873.95","1,607.05",7.68%,4.49%,-25.84%,127.47%,67.47%,2.45,0.86%,26.15%,37.06%,165.89,"1,896.97","1,909.38",53.66,65.39%,80.00%
Aarti Industries,388.65,2.29%,379.95,"7,92,351","13,776.80",58.1,25.14,529.5,344.2,2.12%,-1.63%,-23.05%,-46.81%,-12.39%,2.46,0.26%,7.87%,7.62%,13.35,381.84,419.14,57.76,74.84%,80.00%
KSB,785.55,-0.65%,792,"29,974","13,760.40",53.6,56.72,912,582.25,-3.48%,-5.21%,-0.92%,105.03%,788.13%,8.97,0.51%,16.03%,21.55%,12.51,817.75,772.71,35.92,50.00%,80.00%
Bata,"1,070.50",-0.01%,"1,070.60","1,00,624","13,760.20",80.76,30.61,"1,479.00","1,025.10",-11.63%,-9.75%,-19.90%,-41.57%,-17.52%,9.03,1.77%,17.19%,19.23%,27.57,"1,172.15","1,222.51",27.84,73.50%,80.00%
Granules,573.65,1.42%,565.95,"4,61,593","13,725.30",28.61,54.8,628,422,2.93%,26.35%,4.31%,51.50%,53.57%,3.69,0.27%,12.57%,17.96%,20.3,535.65,509.15,61.54,74.22%,80.00%
Jupiter Wagons,324.05,0.43%,322.65,"5,21,063","13,696.40",42.84,-43.57,588,270.05,-4.61%,-5.08%,-35.30%,344.21%,2291.51%,5.03,0.40%,20.29%,19.60%,8.5,330.29,356.99,45.49,60.83%,80.00%
PCBL Chemical,357.8,-1.19%,364.8,"15,22,208","13,667.90",39.23,25.14,498.4,331,-6.85%,-10.76%,-14.38%,186.81%,407.30%,3.54,1.52%,15.11%,13.26%,13.24,379.57,390.43,36.88,65.02%,80.00%
Fine Organic Industries,"4,426.20",-0.25%,"4,438.00","8,508","13,604.40",32.83,25.14,"5,494.00","3,407.00",-4.50%,-16.18%,-13.77%,-29.15%,78.70%,5.93,0.25%,21.44%,24.27%,138.88,"4,664.00","4,526.14",36.02,50.00%,75.00%
Paradeep Phosphates,167.61,0.73%,166.4,"24,69,804","13,584.00",16.93,34.91,234.39,83.25,-13.42%,-26.69%,61.58%,172.32%,281.80%,3.33,0.60%,8.68%,22.66%,2.76,187.78,154.52,37.5,62.50%,79.06%
Minda Corporation,588.85,4.46%,563.7,"5,19,357","13,476.90",52.53,80.72,606.9,445.05,0.09%,18.64%,16.90%,203.84%,794.23%,6.13,0.25%,11.37%,13.79%,10.3,546.91,527.81,60.3,67.22%,80.00%
Belrise Industries,145.11,-3.63%,150.75,"48,14,143","13,398.90",33.96,80.72,164.5,89.15,-10.99%,1.37%,48.97%,48.97%,48.97%,2.77,0.27%,-,16.84%,-,149.94,-,38.51,60.00%,70.00%
Transformers & Rectifiers,444.8,-0.13%,445.6,"5,91,606","13,369.40",50.84,34.77,"1,297.80",356,-10.51%,-20.42%,-7.19%,1420.68%,10125.29%,10.68,0.04%,-,24.24%,-,494.66,486.56,24.88,50.00%,70.00%
NCC,214.02,0.78%,213.85,"33,43,115","13,333.60",15.69,-6.34,326.45,170.05,1.73%,1.21%,-30.60%,190.20%,526.71%,1.82,1.04%,9.96%,23.70%,12.23,210.44,216.36,55.45,71.80%,80.00%
Jain Resource Recycling,372.7,-3.46%,385.35,"27,47,552","13,322.00",50.12,19.8,413.66,247.57,22.37%,17.18%,17.18%,17.18%,17.18%,9.77,-,-,52.13%,-,-,-,58.69,-,75.00%
Action Construction Equipment,"1,095.40",-0.50%,"1,102.00","76,165","13,109.90",31.05,-43.57,"1,600.00",917.45,1.73%,-0.88%,-15.72%,266.78%,1428.82%,8.09,0.18%,26.65%,35.46%,28.95,"1,092.25","1,169.49",49.66,50.00%,65.00%
Lemon Tree Hotels,168.3,1.83%,165.36,"12,93,133","13,093.50",48.46,324.15,180.68,115.4,-2.85%,15.30%,43.74%,80.39%,519.89%,11.28,-,9.94%,13.58%,1.83,168.77,146.77,53.58,67.71%,80.00%
Aavas Financiers,"1,649.50",-0.03%,"1,641.80","98,070","13,061.60",26.62,19.62,"2,234.00","1,516.90",-0.75%,-3.43%,-2.32%,-11.69%,12.52%,3.46,-,13.00%,8.96%,61.97,"1,626.19","1,779.48",50.88,69.88%,80.00%
BLS International Services,317.5,0.92%,314,"20,28,600","12,953.40",21.59,19.14,521.8,276.95,-3.82%,-17.40%,-21.04%,87.32%,1446.52%,7.48,0.32%,24.40%,27.33%,8.7,343.9,375.01,45.22,50.00%,65.00%
Indegene,536.3,-0.57%,544.75,"2,31,121","12,953.10",29.13,25.16,735,499,-7.49%,-8.72%,-18.10%,-6.06%,-6.06%,4.53,0.37%,23.56%,20.33%,14.81,558.78,572.25,40.98,60.00%,65.00%
Waaree Renewable Technologies,"1,235.00",-0.45%,"1,246.10","5,61,924","12,932.80",36.98,22.37,"1,358.00",841.15,17.94%,19.32%,44.23%,44.23%,44.23%,19.66,0.08%,-,62.17%,-,"1,116.15",-,55.09,50.00%,70.00%
Cyient,"1,160.50",-0.17%,"1,162.50","2,63,687","12,913.90",21.01,19.14,"2,112.00","1,084.05",-0.84%,-4.09%,-36.96%,58.70%,183.67%,2.32,2.24%,15.42%,15.30%,63.07,"1,190.37","1,281.80",44.53,73.33%,80.00%
Tega Industries,"1,952.70",0.70%,"1,939.10","87,765","12,901.90",64.9,-43.57,"2,328.90","1,200.05",-1.08%,2.56%,-1.28%,258.16%,168.95%,9.24,0.10%,16.27%,18.43%,31.44,"1,949.08","1,644.07",54.93,66.05%,70.00%
Godrej Agrovet,660.75,-0.38%,663.25,"1,19,511","12,756.20",30.28,20.33,876.35,648.2,-4.30%,-18.57%,-8.00%,31.51%,25.32%,5.35,1.66%,12.31%,20.74%,20.26,703.25,745.67,39.2,68.81%,80.00%
Olectra Greentech,"1,513.40",-2.27%,"1,546.10","2,62,274","12,710.20",90.13,604.33,"1,714.20",989.95,-2.05%,4.29%,-6.56%,172.27%,2525.15%,12.11,0.03%,7.95%,19.16%,10.08,"1,547.52","1,324.46",51.45,50.00%,65.00%
