Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
MMTC,68.01,-1.05%,69,"41,87,572","10,309.50",105.66,42.65,88.19,44.5,-2.33%,3.67%,-11.87%,87.61%,315.96%,6.05,-,-,6.91%,-,66.62,63.71,50.6,0.00%,-
Procter & Gamble Health,"6,085.50",-1.31%,"6,174.00","8,088","10,236.00",34.1,52.29,"6,739.00","4,903.85",-2.97%,-3.17%,15.10%,44.26%,16.46%,19.09,2.02%,30.56%,53.90%,128.93,"6,275.22","5,706.89",41.72,73.29%,80.00%
Tilaknagar Industries,527.05,-0.20%,531,"11,05,591","10,235.30",39.57,55.81,549.7,199.53,12.32%,2.65%,80.93%,450.44%,2911.71%,7.68,0.18%,31.04%,25.53%,8.05,473.02,373.66,70.28,50.00%,70.00%
Metropolis Healthcare,"2,004.50",1.73%,"1,980.60","54,066","10,208.10",66.72,32.94,"2,263.00","1,315.00",0.41%,-1.77%,-4.73%,17.38%,3.56%,7.7,-,11.69%,13.32%,26.74,"2,054.82","1,831.52",53.21,60.00%,75.00%
Rubicon Research,653.6,5.73%,620,"12,54,314","10,184.00",75.78,25.16,639.7,570.75,4.04%,4.04%,4.04%,4.04%,4.04%,11.36,-,-,24.98%,-,-,-,-,-,-
Vijaya Diagnostic Centre,"1,019.70",3.14%,990.9,"1,73,957","10,155.90",67.14,32.94,"1,275.00",740,0.79%,-6.15%,5.56%,113.93%,64.44%,12.73,0.20%,15.59%,19.79%,12.23,"1,022.39","1,014.05",55.51,50.00%,75.00%
Banco Products,733.25,3.35%,711.75,"4,16,989","10,148.50",23.43,80.72,879.8,297.5,-13.53%,21.71%,101.50%,661.98%,1544.80%,7.79,1.55%,23.52%,32.39%,37.93,720.17,535.15,48.07,50.00%,-
Shakti Pumps,812,-0.91%,823.25,"2,61,992","10,111.80",24.52,56.72,"4,874.95",724.42,-1.30%,-1.64%,-81.75%,902.10%,2099.95%,6.96,0.12%,-,48.39%,-,826.14,900.11,45.77,50.00%,70.00%
Ujjivan Small Finance Bank,52.68,1.62%,52.05,"1,05,84,332","10,042.20",24.11,9.4,54.54,30.88,8.98%,19.86%,35.77%,99.17%,70.49%,1.61,-,22.83%,7.67%,6.51,47.16,42.5,62.65,50.00%,70.00%
Vesuvius,503.55,2.07%,493,"2,47,829","10,013.10",39.9,35.82,646,356.13,-0.20%,-4.78%,-3.22%,236.31%,470.98%,6.57,0.29%,17.84%,23.79%,124.87,508.59,490.39,53.18,50.00%,65.00%
Aether Industries,761.55,1.04%,753.7,"1,16,601","9,993.30",56.9,25.14,938.5,725,0.64%,-0.90%,-10.22%,-19.71%,-1.66%,4.49,-,10.48%,9.85%,6.95,747.45,788.71,56.71,50.00%,70.00%
Aditya Birla Fashion & Retail,85.38,4.58%,82.49,"78,18,538","9,962.30",-19.41,47.97,118.54,70.55,-2.97%,12.56%,-21.93%,-33.51%,53.64%,1.46,-,-1.78%,-1.19%,-,84.95,87.03,53.89,74.79%,80.00%
CE Info Systems,"1,809.10",-0.56%,"1,819.30","56,384","9,955.50",63.26,19.14,"2,166.70","1,513.00",8.39%,1.74%,-6.05%,41.92%,29.81%,12.6,0.19%,20.37%,25.90%,25.44,"1,710.82","1,752.72",55.54,60.00%,65.00%
Nazara Technologies,270.3,1.16%,267.8,"7,66,372","9,898.80",116,31.45,363.25,218.04,-3.65%,-20.62%,16.05%,73.93%,35.83%,2.94,-,4.82%,2.50%,11.95,274.28,281.73,48.85,50.00%,70.00%
Astra Microwave Products,"1,076.70",3.31%,"1,057.00","3,91,389","9,895.60",60.92,26.87,"1,195.90",584.2,-3.23%,12.44%,40.00%,243.28%,933.30%,9.01,0.21%,12.53%,21.62%,14.22,"1,064.55",916.39,51.11,50.00%,70.00%
RHI Magnesita,480.6,0.80%,480.1,"3,28,223","9,846.00",59.59,35.82,599.7,376.45,8.61%,-8.14%,-17.44%,-26.58%,154.96%,2.46,0.53%,-15.62%,6.99%,6.58,464.94,465.14,62.82,68.31%,80.00%
Ramkrishna Forgings,542.85,-0.03%,541,"4,58,682","9,830.00",23.25,21.69,"1,020.00",513.2,-1.60%,-6.34%,-40.66%,134.19%,623.32%,3.23,0.37%,12.72%,7.32%,19.02,558.17,650.43,45.88,60.00%,65.00%
Inox Green Energy Services,272.2,2.13%,267,"77,33,432","9,782.10",243.53,25.16,274.9,104,33.27%,65.70%,62.63%,360.58%,360.58%,5.37,-,-,2.44%,-,204.6,162.56,71.42,-,-
Transrail Lighting,721.55,-0.86%,728,"3,78,462","9,771.20",25.58,22.37,855.8,394.55,-1.20%,-0.96%,30.35%,30.35%,30.35%,5.19,0.11%,-,33.26%,-,756.36,633.72,40.09,65.00%,70.00%
Time Technoplast,212.53,-1.28%,215.29,"12,14,182","9,771.10",23.79,37.5,256.78,153.3,-3.67%,-7.49%,4.41%,314.85%,996.65%,3.38,0.58%,9.61%,18.71%,14.7,226.2,207.97,43.81,62.00%,80.00%
Zee Entertainment,100.59,0.01%,100.69,"53,63,997","9,660.90",16.89,12.08,151.7,89.32,-11.69%,-15.61%,-16.49%,-62.38%,-44.75%,0.83,2.42%,2.34%,8.03%,4.2,112.27,116.23,27.93,61.88%,80.00%
Nesco,"1,354.60",-1.05%,"1,376.50","30,453","9,646.00",24.06,-6.34,"1,638.90",842.6,3.75%,0.07%,36.65%,134.04%,176.11%,3.67,0.47%,14.79%,17.48%,48.61,"1,413.97","1,128.06",46.73,50.00%,70.00%
Happy Forgings,"1,014.90",-0.61%,"1,025.00","37,929","9,629.40",35.83,21.69,"1,191.05",724.1,9.51%,6.83%,-8.50%,-1.54%,-1.54%,5.22,0.29%,15.07%,19.43%,25.77,947.09,913.55,63.8,50.00%,-
South Indian Bank,37.58,2.62%,36.69,"2,70,61,734","9,582.40",7.06,9.4,40.3,22.27,26.19%,30.03%,55.29%,177.34%,539.12%,0.9,1.09%,12.13%,6.16%,4.44,31.6,28.16,64.26,50.00%,70.00%
India Shelter Finance,886.7,0.32%,883.85,"85,437","9,565.60",23.19,19.62,"1,011.75",607,0.94%,-3.01%,25.61%,62.79%,62.79%,3.54,0.56%,10.77%,11.06%,26.49,890.31,839.18,51.37,50.00%,70.00%
Alkyl Amines Chemicals,"1,890.50",1.64%,"1,860.00","27,296","9,512.10",51.01,25.14,"2,438.80","1,508.00",0.31%,-16.32%,-10.23%,-37.66%,64.14%,6.79,0.54%,37.52%,40.66%,28.94,"1,976.58","1,911.34",45.31,68.50%,80.00%
Avanti Feeds,705.45,1.15%,697.4,"1,63,147","9,501.80",15.7,20.33,964.2,562.8,8.54%,5.60%,22.84%,61.80%,52.69%,3.39,1.29%,14.64%,22.90%,27.81,679.24,744.62,55.58,50.00%,75.00%
Tejas Networks,535.2,0.32%,534,"5,68,845","9,434.60",-23.15,26.87,"1,459.90",532.25,-9.40%,-7.86%,-59.27%,-18.25%,501.35%,2.84,0.48%,2.00%,22.45%,9.75,584.8,709.03,32.52,50.00%,75.00%
Sansera Engineering,"1,558.10",2.93%,"1,509.00","3,10,909","9,399.40",40.84,80.72,"1,706.55",972.2,11.22%,19.31%,1.17%,118.07%,90.35%,3.41,0.21%,12.55%,11.42%,35.3,"1,416.16","1,290.42",68.38,69.72%,80.00%
Varroc Engineering,623.05,1.87%,613,"1,14,695","9,344.40",65.21,80.72,664.15,374.1,0.59%,20.75%,19.94%,109.46%,117.39%,5.96,0.16%,3.86%,16.09%,34.44,602.89,529.48,56.54,66.23%,80.00%
